Stock,EventD,OptionEX,C/P,Strike,Avg_Price,Volume,OIa,OI_Change,MillionD,Buy_%,Sell_%,ER_Date,ER_A/B,Div_Date,StockV,Rank,MaxD,Huge,OView
JPM,180719,190118,P,105.0,3.924,2462,9335,1619,0.635,73.23,21.77,20181012,bmo,,109.89,105.0,3.11,1---2,Down
JPM,180719,180921,C,110.0,3.575,10699,18694,5327,1.904,4.18,95.21,20181012,bmo,,109.89,100.0,3.11,1---2,Down
JPM,180719,180921,P,110.0,2.918,11142,7186,10659,3.11,93.21,3.10,20181012,bmo,,109.89,100.0,3.11,1---2,Down
KEM,180719,180720,C,20.0,9.37,1000,1358,-943,-0.884,0.00,100.00,20180725,bmo,,29.39,147.0,0.884,1---1,Down
KEM,180719,180921,C,25.0,5.37,1000,993,1000,0.537,100.00,0.00,20180725,bmo,,29.39,118.0,0.884,1---1,Up
LOW,180719,180720,C,92.5,9.028,80,5739,-829,-0.748,78.75,21.25,20180822,bmo,20180724.0,101.39,110.0,0.748,1---1,Up
LOW,180719,180720,C,85.0,16.386,37,10919,-249,-0.408,94.59,5.41,20180822,bmo,20180724.0,101.39,119.0,0.748,1---1,Up
LULU,180719,181221,P,120.0,8.136,498,43,451,0.367,82.93,14.26,20180829,amc,,127.79,106.0,0.48,1---1,Down
LULU,180719,181221,P,125.0,10.205,501,31,470,0.48,16.97,80.84,20180829,amc,,127.79,102.0,0.48,1---1,Up
MAN,180719,180720,P,85.0,2.664,1736,578,1268,0.338,96.31,2.76,20180720,bmo,,86.1,101.0,0.579,1---1,Down
MAN,180719,180720,P,80.0,1.132,5305,270,5115,0.579,84.47,9.59,20180720,bmo,,86.1,108.0,0.579,1---1,Down
MDCO,180719,180720,C,38.0,1.9,2000,2063,-1950,-0.371,0.00,100.00,20180807,bmo,,40.08,105.0,0.457,1---1,Down
MDCO,180719,180817,C,41.0,2.31,2055,1510,1979,0.457,2.29,97.71,20180807,bmo,,40.08,98.0,0.457,1---1,Down
MDT,180719,180817,C,90.0,0.775,5668,26887,5212,0.404,51.98,47.57,20180821,bmo,,88.42,98.0,0.404,2---2,Up
MELI,180719,180720,C,350.0,20.396,266,399,-153,-0.312,70.68,29.32,20180808,amc,,374.61,107.0,0.495,2---2,Up
MELI,180719,180817,P,370.0,23.784,236,110,208,0.495,92.37,4.24,20180808,amc,,374.61,101.0,0.495,2---2,Down
MMM,180719,180817,C,180.0,22.836,150,19,150,0.343,88.67,11.33,20180724,bmo,,201.6,112.0,0.8,1---2,Up
MMM,180719,190118,P,175.0,3.795,1013,2674,1000,0.38,99.01,0.99,20180724,bmo,,201.6,115.0,0.8,1---2,Down
MMM,180719,190118,C,210.0,7.906,1028,1830,1012,0.8,97.47,2.53,20180724,bmo,,201.6,96.0,0.8,1---2,Up
MRK,180719,180720,C,57.5,5.021,30,3569,-1097,-0.551,66.67,0.00,20180727,bmo,,62.51,109.0,0.551,1---1,Up
MS,180719,181019,C,57.5,0.216,15877,1318,14788,0.32,3.11,92.22,20181015,bmo,,49.85,87.0,1.812,1---2,Down
MS,180719,180817,C,50.0,1.285,5755,15267,3307,0.425,48.50,38.38,20181015,bmo,,49.85,100.0,1.812,1---2,Up
MS,180719,181019,C,55.0,0.535,15508,10173,12698,0.679,4.61,90.15,20181015,bmo,,49.85,91.0,1.812,1---2,Down
MS,180719,181019,C,52.5,1.252,17010,6202,14475,1.812,72.08,19.22,20181015,bmo,,49.85,95.0,1.812,1---2,Up
MSFT,180719,180720,C,103.0,2.758,9101,12702,-3455,-0.953,35.06,54.50,20180719,amc,20180815.0,104.4,101.0,1.036,2---2,Down
MSFT,180719,180720,C,100.0,4.927,4084,29257,-1920,-0.946,70.18,25.47,20180719,amc,20180815.0,104.4,104.0,1.036,2---2,Up
MSFT,180719,200117,C,90.0,21.703,452,7066,-376,-0.816,1.55,98.45,20180719,amc,20180815.0,104.4,116.0,1.036,2---2,Down
MSFT,180719,180720,C,90.0,14.686,816,4870,-330,-0.485,27.70,70.34,20180719,amc,20180815.0,104.4,116.0,1.036,2---2,Down
MSFT,180719,190621,C,90.0,18.74,177,554,161,0.302,90.40,9.60,20180719,amc,20180815.0,104.4,116.0,1.036,2---2,Up
MSFT,180719,180727,C,104.0,2.525,2268,1335,1416,0.357,43.69,49.07,20180719,amc,20180815.0,104.4,100.0,1.036,2---2,Down
MSFT,180719,180921,P,105.0,3.991,1190,3449,901,0.36,72.02,26.72,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Down
MSFT,180719,180720,C,104.0,2.104,6116,6254,1770,0.372,41.84,41.32,20180719,amc,20180815.0,104.4,100.0,1.036,2---2,Up
MSFT,180719,181019,C,105.0,4.552,2383,6872,821,0.374,31.68,67.02,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Down
MSFT,180719,180727,P,105.0,2.46,2316,6200,1606,0.395,19.34,76.60,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Up
MSFT,180719,190621,P,92.5,4.118,1022,2788,1016,0.418,99.51,0.49,20180719,amc,20180815.0,104.4,113.0,1.036,2---2,Down
MSFT,180719,180727,C,107.0,1.248,5020,2706,3591,0.448,53.05,37.37,20180719,amc,20180815.0,104.4,98.0,1.036,2---2,Up
MSFT,180719,180817,C,105.0,2.653,9866,26935,2555,0.678,46.15,42.13,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Up
MSFT,180719,180817,C,110.0,0.936,14459,21677,8207,0.768,59.24,34.84,20180719,amc,20180815.0,104.4,95.0,1.036,2---2,Up
MSFT,180719,180921,C,105.0,3.619,3247,30236,2194,0.794,44.53,43.49,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Up
MSFT,180719,180817,P,105.0,3.228,3786,4637,2674,0.863,37.80,56.60,20180719,amc,20180815.0,104.4,99.0,1.036,2---2,Up
MSFT,180719,190118,C,110.0,4.418,3246,37073,2046,0.904,9.77,34.97,20180719,amc,20180815.0,104.4,95.0,1.036,2---2,Down
MSFT,180719,180720,P,104.0,1.626,9722,2945,5726,0.931,32.04,48.78,20180719,amc,20180815.0,104.4,100.0,1.036,2---2,Up
MSFT,180719,180720,C,106.0,1.185,24050,21446,8621,1.021,37.44,52.00,20180719,amc,20180815.0,104.4,98.0,1.036,2---2,Down
