Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
ICD,"Independence Contract Drilling, Inc.",4.91,187821076.2,n/a,2014,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/icd
IO,Ion Geophysical Corporation,25.8,358865332.2,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/io
ISRL,"Isramco, Inc.",104.55,284130098.4,n/a,1983,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/isrl
JAG,Jagged Peak Energy Inc.,13.17,2806668670,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jag
JONE,"Jones Energy, Inc.",0.65,66828816.6,n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jone
FRAC,"Keane Group, Inc.",16.23,1821716371,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac
KEG,"Key Energy Services, Inc.",17.84,360923198.6,n/a,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg
KRP,Kimbell Royalty Partners,19.4,326598689.6,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp
PHG,Koninklijke Philips N.V.,42.94,39282628440,n/a,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/phg
KOS,Kosmos Energy Ltd.,7.51,2974884864,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/kos
LPI,"Laredo Petroleum, Inc.",9.76,2295181296,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lpi
LGCY,Legacy Reserves LP,6.52,501347308.7,n/a,2007,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lgcy
LGCYO,Legacy Reserves LP,10.75,75250000,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lgcyo
LGCYP,Legacy Reserves LP,12.55,25100000,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lgcyp
LBRT,Liberty Oilfield Services Inc.,23.09,2728744936,n/a,2018,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/lbrt
LLEX,"Lilis Energy, Inc.",4.9,296140942.3,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/llex
LONE,Lonestar Resources US Inc.,7.07,174202162.9,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lone
MIC,Macquarie Infrastructure Corporation ,37.96,3229801698,n/a,2004,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/mic
MMP,Magellan Midstream Partners L.P.,68.72,15681571395,n/a,n/a,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/mmp
